Date,Open,High,Low,Close,Volume,Change,Code
2020-07-13,11650,15100,10950,15100,20758625,,950200
2020-07-14,18200,19600,18150,19600,3322501,0.29801324503311255,950200
2020-07-15,24100,24700,20250,20400,22357139,0.04081632653061229,950200
2020-07-16,19800,22850,18650,20450,10472823,0.002450980392156854,950200
2020-07-17,19750,21500,19500,20000,2921113,-0.022004889975550168,950200
2020-07-20,19800,20650,18550,18600,1757660,-0.06999999999999995,950200
2020-07-21,18300,22850,17600,19900,10567079,0.06989247311827951,950200
2020-07-22,19450,21750,18950,19700,3744980,-0.01005025125628145,950200
2020-07-23,20350,20750,19550,19700,2122541,0.0,950200
2020-07-24,19350,20250,18850,18850,1445204,-0.043147208121827374,950200
2020-07-27,18850,19300,17900,17900,834847,-0.050397877984084904,950200
2020-07-28,18550,19300,17000,17250,1236769,-0.03631284916201116,950200
2020-07-29,17200,17450,16450,16550,696525,-0.04057971014492756,950200
2020-07-30,16750,17650,16500,16800,798613,0.015105740181268867,950200
2020-07-31,16800,17250,16500,16500,406011,-0.017857142857142905,950200
2020-08-03,16550,18900,16150,17150,2987111,0.039393939393939315,950200
2020-08-04,17400,18350,17350,17800,1034617,0.03790087463556846,950200
2020-08-05,18150,18250,17500,17600,365194,-0.011235955056179803,950200
2020-08-06,17600,17600,17100,17200,429924,-0.022727272727272707,950200
2020-08-07,17450,17800,16900,16950,675808,-0.014534883720930258,950200
2020-08-10,17000,17050,16300,16550,328279,-0.02359882005899705,950200
2020-08-11,16450,16700,16350,16400,231564,-0.009063444108761365,950200
2020-08-12,16450,18050,16300,17150,1467684,0.0457317073170731,950200
2020-08-13,17200,17400,16550,16600,523872,-0.03206997084548102,950200
2020-08-14,16700,16900,16350,16450,271883,-0.009036144578313254,950200
2020-08-18,16200,16500,14850,15000,407168,-0.08814589665653494,950200
2020-08-19,15050,15450,14500,14550,270559,-0.030000000000000027,950200
2020-08-20,14750,14750,13450,13550,397043,-0.06872852233676974,950200
2020-08-21,13750,17600,13400,14800,6244731,0.09225092250922518,950200
2020-08-24,15050,17600,14200,16900,4567509,0.14189189189189189,950200
2020-08-25,17000,18300,16550,16950,1897483,0.002958579881656709,950200
2020-08-26,17100,17900,16400,17900,1242277,0.05604719764011801,950200
2020-08-27,19850,21200,17450,17500,3066634,-0.022346368715083775,950200
2020-08-28,17600,18100,16950,16950,729742,-0.03142857142857147,950200
2020-08-31,17000,17250,16250,16400,550562,-0.03244837758112096,950200
2020-09-01,16300,17850,16300,17200,921905,0.04878048780487809,950200
2020-09-02,17200,17600,17000,17050,355556,-0.008720930232558155,950200
2020-09-03,17150,17900,17100,17450,613813,0.02346041055718473,950200
2020-09-04,16650,17100,16500,16900,339675,-0.03151862464183386,950200
2020-09-07,16750,17250,16500,16750,374416,-0.00887573964497046,950200
2020-09-08,16900,17300,16700,16950,555052,0.011940298507462588,950200
2020-09-09,16750,17850,16750,17250,1205550,0.017699115044247815,950200
2020-09-10,17550,17950,17050,17100,681260,-0.008695652173912993,950200
2020-09-11,17300,17550,17100,17350,490625,0.014619883040935644,950200
2020-09-14,17750,18100,17350,17450,942477,0.0057636887608070175,950200
2020-09-15,16400,16750,15800,15800,983261,-0.09455587392550147,950200
2020-09-16,15750,15750,15000,15100,484908,-0.044303797468354444,950200
2020-09-17,14950,15400,14550,14700,267358,-0.026490066225165587,950200
2020-09-18,14700,14900,14300,14550,184173,-0.010204081632653073,950200
2020-09-21,14750,14850,14500,14500,142877,-0.0034364261168384758,950200
2020-09-22,15000,16450,14100,15750,1001477,0.0862068965517242,950200
2020-09-23,16000,16050,14850,14850,409615,-0.05714285714285716,950200
2020-09-24,14800,15200,13500,13900,383795,-0.06397306397306401,950200
2020-09-25,13950,14500,13750,14000,209101,0.007194244604316502,950200
2020-09-28,14100,14300,13850,13900,131872,-0.0071428571428571175,950200
2020-09-29,14000,14300,13900,14200,92907,0.021582733812949728,950200
2020-10-05,14450,14450,13950,14050,86878,-0.010563380281690127,950200
2020-10-06,14300,14400,14050,14300,130330,0.017793594306049876,950200
2020-10-07,14200,14600,14050,14400,97986,0.006993006993007089,950200
2020-10-08,14600,15950,14300,15100,847022,0.04861111111111116,950200
2020-10-12,15000,15500,14550,15150,1450997,0.0033112582781456013,950200
2020-10-13,15400,15450,14200,14400,1015684,-0.04950495049504955,950200
2020-10-14,14550,14750,14050,14150,265271,-0.01736111111111116,950200
2020-10-15,14200,14200,13000,13300,337987,-0.060070671378091856,950200
2020-10-16,13150,13400,12650,12900,186118,-0.03007518796992481,950200
2020-10-19,12900,13200,12600,12700,104098,-0.015503875968992276,950200
2020-10-20,12550,15350,12000,13050,1457905,0.027559055118110187,950200
2020-10-21,13300,13700,13100,13250,337846,0.015325670498084198,950200
2020-10-22,13250,13250,12650,12700,144534,-0.04150943396226414,950200
2020-10-23,12750,13000,12500,12500,108447,-0.015748031496062964,950200
2020-10-26,12450,12500,11450,11500,271851,-0.07999999999999996,950200
2020-10-27,11350,11750,11100,11500,142421,0.0,950200
2020-10-28,11500,11900,11500,11900,108179,0.034782608695652195,950200
2020-10-29,11550,12300,11500,11950,155922,0.004201680672268893,950200
2020-10-30,12250,12450,11550,11600,156486,-0.029288702928870314,950200
2020-11-02,11600,12000,11600,11750,79340,0.012931034482758674,950200
2020-11-03,11900,12500,11850,12400,270492,0.05531914893617018,950200
2020-11-04,12500,12750,12150,12250,241924,-0.012096774193548376,950200
2020-11-05,12250,12750,12250,12600,221753,0.02857142857142847,950200
2020-11-06,13350,15700,13200,14450,4634977,0.14682539682539675,950200
2020-11-09,14850,15000,14050,14150,961040,-0.02076124567474047,950200
2020-11-10,14000,14000,12650,12850,818170,-0.09187279151943462,950200
2020-11-11,12900,13300,12800,13250,441153,0.03112840466926059,950200
2020-11-12,14300,15000,13550,13950,1280345,0.05283018867924527,950200
2020-11-13,14250,18100,14150,18100,10837608,0.29749103942652333,950200
2020-11-16,20450,21050,17900,18250,14221161,0.008287292817679592,950200
2020-11-17,21000,23700,20700,20700,24454366,0.13424657534246576,950200
2020-11-18,19750,20200,19200,19950,1796278,-0.036231884057971064,950200
2020-11-19,19350,21600,19000,21600,1554175,0.08270676691729317,950200
2020-11-20,21650,22600,21250,22500,1284516,0.04166666666666674,950200
2020-11-23,22600,27500,20600,21150,22790489,-0.06000000000000005,950200
2020-11-24,21800,23100,19700,20200,5615919,-0.044917257683215084,950200
2020-11-25,19950,20100,17950,18800,2673441,-0.06930693069306926,950200
2020-11-26,19250,21450,18650,18900,5043759,0.005319148936170137,950200
2020-11-27,18900,19750,18200,19450,1989623,0.02910052910052907,950200
2020-11-30,19900,20050,18650,18650,1394942,-0.041131105398457546,950200
2020-12-01,20700,21550,19000,19200,7733840,0.029490616621983934,950200
2020-12-02,18850,19100,18350,18550,1366168,-0.03385416666666663,950200
2020-12-03,19150,22000,18800,21550,6197058,0.16172506738544468,950200
2020-12-04,20650,21150,19750,19750,3604881,-0.08352668213457082,950200
2020-12-07,19950,20100,19000,19350,1089287,-0.020253164556962022,950200
2020-12-08,19250,20200,18250,18250,1941989,-0.056847545219638196,950200
2020-12-09,18400,18450,17250,17250,883761,-0.0547945205479452,950200
2020-12-10,16850,17800,16500,17200,776578,-0.0028985507246376274,950200
2020-12-11,17250,17850,17200,17450,523107,0.014534883720930258,950200
2020-12-14,17400,21600,17400,19700,10666689,0.1289398280802292,950200
2020-12-15,19800,20300,18850,20150,1853281,0.02284263959390853,950200
2020-12-16,20200,22800,19600,20750,6985141,0.02977667493796532,950200
2020-12-17,20200,22300,19900,21000,6362947,0.012048192771084265,950200
2020-12-18,21600,21800,19550,19750,2540721,-0.059523809523809534,950200
2020-12-21,19750,19950,18050,18050,1459190,-0.08607594936708862,950200
2020-12-22,18050,20500,17550,18200,2556287,0.008310249307479145,950200
2020-12-23,19150,19700,18150,18200,1894816,0.0,950200
2020-12-24,18200,18800,17850,18050,887102,-0.008241758241758212,950200
2020-12-28,18150,18200,16950,17000,590663,-0.05817174515235457,950200
2020-12-29,17200,18900,17100,17700,2056850,0.04117647058823537,950200
2020-12-30,18100,18500,17900,18100,658735,0.02259887005649719,950200
