Date,Open,High,Low,Close,Volume,Change,Code
2018-12-12,4000,4000,3970,3990,261305,,307870
2018-12-13,3990,3990,3960,3990,46558,0.0,307870
2018-12-14,3980,3990,3970,3990,32307,0.0,307870
2018-12-17,3990,3990,3980,3990,3653,0.0,307870
2018-12-18,3990,3990,3960,3970,25873,-0.005012531328320802,307870
2018-12-19,3970,3980,3960,3970,30968,0.0,307870
2018-12-20,3970,3980,3970,3980,5002,0.0025188916876575096,307870
2018-12-21,3980,3980,3980,3980,2456,0.0,307870
2018-12-24,3970,4000,3970,3990,45168,0.002512562814070307,307870
2018-12-26,4000,4000,3980,4000,5633,0.0025062656641603454,307870
2018-12-27,3990,3990,3990,3990,500,-0.0024999999999999467,307870
2018-12-28,3970,3990,3970,3990,1441,0.0,307870
2019-01-02,3980,3980,3970,3970,412,-0.005012531328320802,307870
2019-01-03,3970,4000,3970,4000,64,0.007556675062972307,307870
2019-01-04,4000,4000,3970,3980,1314,-0.0050000000000000044,307870
2019-01-07,3980,4000,3980,3980,4172,0.0,307870
2019-01-08,3980,4000,3980,3980,52,0.0,307870
2019-01-09,3980,4000,3980,4000,6,0.005025125628140614,307870
2019-01-10,4000,4000,3990,3990,1506,-0.0024999999999999467,307870
2019-01-11,3990,4000,3990,3990,417,0.0,307870
2019-01-14,3980,4000,3980,4000,1289,0.0025062656641603454,307870
2019-01-15,4010,4010,3980,3990,1204,-0.0024999999999999467,307870
2019-01-16,3980,4010,3980,4010,11992,0.005012531328320913,307870
2019-01-17,4000,4010,3990,3990,572,-0.004987531172069848,307870
2019-01-18,4000,4010,4000,4010,2505,0.005012531328320913,307870
2019-01-21,4000,4000,3990,4000,56,-0.0024937655860348684,307870
2019-01-22,4000,4000,3990,3990,7041,-0.0024999999999999467,307870
2019-01-23,4000,4000,4000,4000,5008,0.0025062656641603454,307870
2019-01-24,4000,4000,4000,4000,4,0.0,307870
2019-01-25,3980,4000,3980,4000,18240,0.0,307870
2019-01-28,3990,4000,3990,4000,1322,0.0,307870
2019-01-29,4000,4000,3990,4000,1878,0.0,307870
2019-01-30,4000,4000,4000,4000,1238,0.0,307870
2019-01-31,4020,4020,4000,4000,2,0.0,307870
2019-02-01,4000,4010,3990,4010,1880,0.0024999999999999467,307870
2019-02-07,4010,4020,4010,4020,4200,0.0024937655860348684,307870
2019-02-08,4020,4020,4000,4000,484,-0.00497512437810943,307870
2019-02-11,4030,4030,4030,4030,1,0.007500000000000062,307870
2019-02-12,4030,4030,4000,4000,922,-0.007444168734491274,307870
2019-02-13,4010,4020,4010,4010,3507,0.0024999999999999467,307870
2019-02-14,4030,4030,4000,4000,1754,-0.0024937655860348684,307870
2019-02-15,4030,4030,4010,4020,7502,0.004999999999999893,307870
2019-02-18,4020,4020,4000,4020,139,0.0,307870
2019-02-19,4020,4020,4010,4010,84,-0.0024875621890547706,307870
2019-02-20,4020,4020,4000,4000,2029,-0.0024937655860348684,307870
2019-02-21,4010,4010,3990,4000,779,0.0,307870
2019-02-22,4020,4020,4000,4000,2608,0.0,307870
2019-02-25,4020,4020,4000,4000,229,0.0,307870
2019-02-26,4020,4020,3980,4010,18511,0.0024999999999999467,307870
2019-02-27,4010,4010,4000,4010,1151,0.0,307870
2019-02-28,4010,4010,3990,3990,1002,-0.004987531172069848,307870
2019-03-04,4010,4010,3990,4010,635,0.005012531328320913,307870
2019-03-05,4010,4010,4000,4000,453,-0.0024937655860348684,307870
2019-03-06,4010,4010,3990,3990,451,-0.0024999999999999467,307870
2019-03-07,4010,4010,4000,4000,717,0.0025062656641603454,307870
2019-03-08,4010,4010,4010,4010,1,0.0024999999999999467,307870
2019-03-11,4010,4010,4010,4010,522,0.0,307870
2019-03-12,4010,4010,4010,4010,1,0.0,307870
2019-03-13,4010,4020,4010,4010,3158,0.0,307870
2019-03-14,4020,4020,4010,4020,602,0.0024937655860348684,307870
2019-03-15,4020,4020,4010,4010,10717,-0.0024875621890547706,307870
2019-03-18,4020,4020,4000,4010,5507,0.0,307870
2019-03-19,4020,4020,4020,4020,2011,0.0024937655860348684,307870
2019-03-20,4020,4020,4010,4010,2130,-0.0024875621890547706,307870
2019-03-21,4020,4020,4000,4000,605,-0.0024937655860348684,307870
2019-03-22,4020,4020,4000,4020,5552,0.004999999999999893,307870
2019-03-25,4020,4020,4010,4020,5250,0.0,307870
2019-03-26,4020,4020,4020,4020,754,0.0,307870
2019-03-27,4020,4020,4010,4020,46,0.0,307870
2019-03-28,4020,4020,4020,4020,4,0.0,307870
2019-03-29,4020,4020,4000,4020,23,0.0,307870
2019-04-01,4020,4020,3990,4010,7983,-0.0024875621890547706,307870
2019-04-02,4010,4010,4000,4000,453,-0.0024937655860348684,307870
2019-04-03,4010,4010,3990,4000,6208,0.0,307870
2019-04-04,4010,4010,4000,4000,6373,0.0,307870
